country,R,G,B
AR,0.05,0.22809063,0.7374235
BO,0.95,0.83266675,0.6359809
BR,0.8073349,0.05,0.8810398
CA,0.7670943,0.46087834,0.92039
CL,0.95,0.39648357,0.30085528
CO,0.3937375,0.8257021,0.7124312
CR,0.19225346,0.52301127,0.66854584
CU,0.95,0.80416304,0.21150288
DO,0.7333535,0.95,0.6386833
EC,0.7637293,0.69958264,0.40576547
ES,0.5615953,0.05,0.28377604
FR,0.83556,0.07821026,0.46259236
GB,0.6185167,0.05,0.7143496
GQ,0.5522163,0.9261877,0.26106116
GT,0.26697752,0.82431287,0.285429
HN,0.41259503,0.6285456,0.05
MX,0.29593766,0.26381862,0.3227572
NI,0.05,0.5742874,0.6783734
PA,0.7030472,0.44156903,0.05
PE,0.60536784,0.42503342,0.5282428
PR,0.050723307,0.47008967,0.3114959
PY,0.16923556,0.05,0.49424228
SV,0.95,0.43539795,0.7297243
US,0.36731997,0.16484217,0.88542104
UY,0.121885106,0.4062119,0.95
VE,0.77742547,0.90866405,0.05
