country,R,G,B
ALL,0.4600756,0.0,0.54841655
AR,0.071973756,0.32587898,0.88568294
BO,0.5831676,0.85978436,0.2344868
BR,0.7508052,0.2986046,0.24149099
CA,0.6240532,0.5811088,0.0
CL,0.46421167,0.40306228,1.0
CO,0.6482612,0.15648052,0.87200546
CR,0.12049047,0.4999766,0.5588122
CU,1.0,0.58025616,0.5980646
DO,0.43104407,0.26937824,0.2052269
EC,0.19662535,0.81258875,0.46613494
ES,0.36965117,0.18965001,0.64793974
FR,0.9664331,0.7700548,0.25093555
GB,0.25538152,0.5510247,0.1296128
GQ,0.7119637,0.5471089,0.2682687
GT,0.661317,0.6379325,0.84568375
HN,0.75943303,1.0,0.21722753
MX,0.0,0.28214157,0.5888143
NI,0.94009864,0.47017288,0.1269656
PA,0.8838734,0.19194993,0.52807105
PE,0.64160204,0.4318827,0.6112434
PR,0.7696101,0.84723884,0.5684322
PY,0.476629,0.5018929,0.39745048
SV,0.5004516,0.90860885,0.5648618
US,0.2451703,0.11031779,0.9046129
UY,0.84083766,0.49391443,0.85372704
VE,0.25255394,0.5829678,0.8009916
