country,R,G,B
ALL,0.05661682,0.041354433,0.8949852
AR,0.0,0.0,0.86435795
BO,0.9247484,0.31800476,0.51806474
BR,0.8261405,0.41735777,0.68069565
CA,0.89411837,0.4756719,0.5649902
CL,0.13633537,0.3351972,0.8430387
CO,0.080515474,0.17303704,0.99210477
CR,0.73805785,0.6700856,0.60499775
CU,0.9864587,0.41489077,0.49431646
DO,0.60077876,0.7869363,0.64847475
EC,0.5408745,1.0,0.15229943
ES,0.008632547,0.043042887,0.9583168
FR,0.88925683,0.3481962,0.6857852
GB,0.8753653,0.5160951,0.7194535
GQ,0.9961813,0.27898097,0.4884067
GT,0.6793773,0.7251162,0.51145923
HN,0.9592341,0.4818107,0.6301384
MX,0.04661879,0.18508852,0.8734518
NI,0.7851002,0.5864435,0.49541944
PA,0.5766339,0.76575464,0.5252267
PE,0.19468173,0.47730964,0.88805264
PR,1.0,0.2959811,0.6040227
PY,0.5955442,0.9246011,0.15617163
SV,0.8400144,0.5787709,0.5221997
US,0.09908636,0.33383924,0.93389404
UY,0.5427854,0.96724343,0.0
VE,0.14551201,0.36580962,1.0
