country,R,G,B
ALL,0.16793871,0.63746655,0.0
AR,0.0,0.6437687,0.21926326
BO,0.8081281,0.0,0.8472277
BR,0.75778043,0.8995619,0.6414256
CA,0.73210603,0.29209244,0.6942045
CL,0.022472322,0.24798994,0.37467915
CO,0.10802212,0.5315905,0.50514287
CR,0.6529534,0.7887942,0.33348748
CU,0.9786719,0.30845514,0.39992797
DO,0.5271062,0.75423163,0.8904795
EC,0.35285872,0.7876148,0.1585125
ES,0.17822292,0.37395543,0.1909705
FR,0.91661125,0.64862585,0.8582503
GB,0.7415515,0.4773325,1.0
GQ,0.9190846,0.03427177,0.55051
GT,0.6673085,0.19357653,0.4152022
HN,0.9965012,0.73529255,0.5188268
MX,0.113400176,0.9723317,0.17083125
NI,0.82050556,0.55467904,0.5276568
PA,0.46379203,0.33353734,0.7697621
PE,0.2970841,0.48753917,0.47291988
PR,1.0,0.26240855,0.78152335
PY,0.4586413,0.9134073,0.5683369
SV,0.8277118,0.48138326,0.22797005
US,0.11367984,0.76662236,0.74338186
UY,0.2621372,1.0,0.5055832
VE,0.06701338,0.97233576,0.46541914
