country,R,G,B
AR,0.05,0.13387646,0.05
BO,0.95,0.14851812,0.8126702
BR,0.75657445,0.95,0.8243017
CA,0.73154205,0.85500884,0.82472897
CL,0.95,0.054920822,0.8004766
CO,0.14465392,0.33358178,0.95
CR,0.06823319,0.19130746,0.13915454
CU,0.95,0.10843394,0.8393187
DO,0.9331941,0.05,0.9270912
EC,0.9283229,0.09850917,0.8650214
ES,0.677284,0.9260974,0.78236866
FR,0.71912473,0.95,0.78549296
GB,0.67632,0.95,0.82659084
GQ,0.26078582,0.2570809,0.95
GT,0.18888123,0.36966494,0.95
HN,0.17943901,0.42197427,0.94311863
MX,0.2238017,0.51839685,0.94558054
NI,0.05,0.09189513,0.05
PA,0.87919164,0.099781014,0.93286175
PE,0.8908938,0.05,0.81527746
PR,0.46430632,0.8326117,0.7942205
PY,0.17197287,0.46627086,0.95
SV,0.8779186,0.19363244,0.89576954
US,0.5973499,0.9031311,0.8000814
UY,0.05,0.08967804,0.050159685
VE,0.87242484,0.05,0.8923208
