country,R,G,B
AR,0.05,0.9003061,0.05
BO,0.95,0.67087805,0.58410275
BR,0.90729064,0.05,0.6650631
CA,0.862311,0.20768377,0.6709841
CL,0.91829413,0.7525866,0.5549092
CO,0.66281176,0.7569716,0.9366578
CR,0.05,0.8575031,0.15170653
CU,0.95,0.76307195,0.6456527
DO,0.8755661,0.6776959,0.65144265
EC,0.9277149,0.760613,0.7370091
ES,0.80782634,0.05,0.7070416
FR,0.84269625,0.069781214,0.60289836
GB,0.8780519,0.095404476,0.72426695
GQ,0.5840378,0.8028182,0.95
GT,0.5188487,0.8280881,0.87405896
HN,0.47625485,0.7334198,0.95
MX,0.39763254,0.7956035,0.7864346
NI,0.087148026,0.9278927,0.05
PA,0.8238179,0.5200232,0.78355664
PE,0.777331,0.6929077,0.7621872
PR,0.05,0.95,0.1276554
PY,0.39177388,0.8209775,0.92887366
SV,0.913947,0.5409057,0.63765216
US,0.7334463,0.18180606,0.70063895
UY,0.05,0.95,0.05
VE,0.91343296,0.64687407,0.7818964
