country,R,G,B
AR,0.05,0.832181,0.05
BO,0.9040328,0.95,0.90385336
BR,0.90190816,0.07136194,0.3949709
CA,0.95,0.16016632,0.41609287
CL,0.88641727,0.8968854,0.800148
CO,0.55655915,0.89839154,0.8787635
CR,0.10376272,0.84820944,0.328157
CU,0.84919155,0.95,0.7689409
DO,0.7757968,0.92287785,0.7403069
EC,0.7966072,0.95,0.95
ES,0.95,0.05,0.5314136
FR,0.94293946,0.05,0.33892503
GB,0.95,0.07289619,0.36175495
GQ,0.46295673,0.8845132,0.83577603
GT,0.33416173,0.89785326,0.7694757
HN,0.3452487,0.8163042,0.67318577
MX,0.20218945,0.84934264,0.6264406
NI,0.05,0.8997699,0.11463359
PA,0.6390058,0.8384312,0.8027304
PE,0.75068986,0.8154192,0.87305385
PR,0.103383444,0.809103,0.14838704
PY,0.23361927,0.77870214,0.5709307
SV,0.8239408,0.87966883,0.95
US,0.29182717,0.69267225,0.54998076
UY,0.05,0.8296925,0.16133341
VE,0.70354265,0.94170743,0.8935725
