country,R,G,B
ALL,0.9171261,0.6787666,0.7249922
AR,0.917518,0.6783592,0.46433002
BO,0.9991489,0.208266,0.4148241
BR,0.99189705,0.2427946,0.23812187
CA,1.0,0.028578429,0.32429767
CL,0.40270305,0.9184853,0.42382532
CO,0.9263326,0.20836504,0.25940552
CR,0.963152,0.2881308,0.7104471
CU,0.8861672,0.7274082,0.4638773
DO,0.9641755,0.79378194,0.3867689
EC,0.3670258,0.95291275,0.0
ES,0.9183774,0.6811121,0.7599842
FR,0.9939828,0.0,0.83329993
GB,0.98729324,0.00086851406,0.39773667
GQ,0.8895846,0.7310959,0.4737088
GT,0.96031886,0.075008266,0.43198955
HN,0.9827825,0.11987017,0.9214405
MX,0.9283862,0.20877323,0.3120803
NI,0.97813,0.24952757,0.8125436
PA,0.96109724,0.7884944,0.40807542
PE,0.0,0.979997,0.6282732
PR,0.8842645,0.7320935,0.4951897
PY,0.9587124,0.78450835,0.42690995
SV,0.963478,0.0697266,0.45718572
US,0.9275389,0.208349,0.2899202
UY,0.36661848,1.0,1.0
VE,0.9434994,0.2832477,0.9891018
