country,R,G,B
ALL,0.0,0.8292196,0.85902256
AR,0.05665942,0.86479175,0.63789314
BO,0.8093031,0.16162173,0.23440456
BR,0.7704439,0.3992996,0.34933156
CA,0.89056915,0.25294125,0.47055218
CL,0.1938581,0.93659335,0.5988658
CO,0.23657906,0.8871174,0.86790407
CR,0.6511641,0.37949264,0.55038303
CU,1.0,0.15392576,0.32806903
DO,0.5057246,0.36036727,0.34310517
EC,0.35447592,0.5340842,0.7115908
ES,0.11126484,0.89533406,1.0
FR,0.8415658,0.0,0.089394465
GB,0.69377357,0.06265846,0.28168458
GQ,0.9608051,0.13866973,0.104972355
GT,0.6398278,0.34691265,0.14246055
HN,0.85107446,0.30681336,0.056498114
MX,0.09418621,1.0,0.8637728
NI,0.73452175,0.14528252,0.54146445
PA,0.33727843,0.5125195,0.38365415
PE,0.33717522,0.7533077,0.6399809
PR,0.90207195,0.018067507,0.39258835
PY,0.49925265,0.5719071,0.4252845
SV,0.674758,0.15733886,0.0
US,0.14832185,0.72236043,0.8622785
UY,0.1891303,0.7577558,0.4503185
VE,0.16143444,0.6444266,0.6385507
