country,R,G,B
AR,0.05,0.64529955,0.05
BO,0.95,0.84350675,0.5162938
BR,0.71410817,0.05,0.28922296
CA,0.80118275,0.49142173,0.08683597
CL,0.90533656,0.383625,0.81157535
CO,0.36903283,0.95,0.25090447
CR,0.21901149,0.6069337,0.05
CU,0.95,0.75718373,0.9026993
DO,0.7697648,0.6932175,0.7662132
EC,0.73835176,0.95,0.90864116
ES,0.5198049,0.13904192,0.57369137
FR,0.8624775,0.1580838,0.42931786
GB,0.6366651,0.18855838,0.05
GQ,0.5411827,0.82976925,0.7694641
GT,0.5042648,0.696446,0.05
HN,0.33312118,0.95,0.71255404
MX,0.24424142,0.2807179,0.45024115
NI,0.067546576,0.34667778,0.15900536
PA,0.6040831,0.43487984,0.95
PE,0.61681384,0.5083879,0.47448397
PR,0.13478287,0.81148624,0.33618012
PY,0.19704859,0.5621171,0.73236287
SV,0.95,0.494415,0.37581733
US,0.36197385,0.27677077,0.05
UY,0.05,0.59078366,0.41408417
VE,0.73182434,0.95,0.39829537
