country,R,G,B
ALL,0.9397082,0.67483157,0.18427536
AR,1.0,0.66098535,0.5477516
BO,0.0,0.33516473,0.5414069
BR,0.51375633,0.19458033,0.12845835
CA,0.20634368,0.0743125,0.78524715
CL,0.466957,1.0,0.4831697
CO,0.6914056,0.9042605,0.75693667
CR,0.84213483,0.21185768,0.3679272
CU,0.15115386,0.13129063,0.34087333
DO,0.33274844,0.7047328,0.0
EC,0.43808046,0.6191472,0.57515424
ES,0.6238391,0.8435605,0.20675093
FR,0.5657294,0.13098821,0.8603643
GB,0.6507228,0.49475443,0.12814307
GQ,0.2701996,0.3503596,0.91538167
GT,0.91796887,0.29483077,0.7585017
HN,0.37877166,0.30587062,0.5501329
MX,0.83408177,0.9219419,0.43031028
NI,0.034007672,0.56248194,0.74233353
PA,0.64686525,0.45186493,0.99566895
PE,0.4119989,0.7136925,1.0
PR,0.5030614,0.0,0.51044816
PY,0.21358877,0.46213424,0.20968646
SV,0.7003279,0.48029542,0.54462886
US,0.9141779,0.68626696,0.8912968
UY,0.19810756,0.8722892,0.72397983
VE,0.20470122,0.7679618,0.3473364
