country,R,G,B
AR,0.05,0.57761914,0.12522522
BO,0.67300016,0.648708,0.95
BR,0.6371331,0.05,0.52958167
CA,0.4801755,0.35003674,0.65717286
CL,0.95,0.4487969,0.52132314
CO,0.42485082,0.95,0.43337408
CR,0.24449447,0.5018072,0.18494241
CU,0.95,0.61374205,0.7459688
DO,0.87170404,0.45886782,0.9266181
EC,0.57565534,0.24023606,0.9039529
ES,0.6210673,0.43007815,0.383723
FR,0.8528977,0.17202279,0.41454682
GB,0.36240178,0.12039474,0.4600836
GQ,0.4281704,0.69026774,0.84586334
GT,0.14683622,0.47401813,0.60813886
HN,0.25143495,0.81330484,0.6294007
MX,0.17700389,0.21028939,0.22939347
NI,0.23013182,0.8223142,0.05
PA,0.7753993,0.7443772,0.31509852
PE,0.7992301,0.94198036,0.72693276
PR,0.37227315,0.73823726,0.25461116
PY,0.54887474,0.6404263,0.05
SV,0.8582618,0.19274412,0.732255
US,0.48043942,0.3153322,0.09684542
UY,0.0700349,0.79562104,0.3151743
VE,0.6568879,0.69034255,0.66449815
