country,R,G,B
ALL,0.093140475,0.24997585,1.0
AR,0.14135516,0.0,0.8314451
BO,0.875357,1.0,0.53813165
BR,0.7104041,0.7907666,0.6773894
CA,0.73592526,0.86506015,0.0
CL,0.27203548,0.40186912,0.91753674
CO,0.03606925,0.36527258,0.71626484
CR,0.5545769,0.326337,0.15396847
CU,0.9257793,0.47645715,0.30005634
DO,0.38916966,0.61841506,0.35002747
EC,0.6093435,0.020468393,0.565788
ES,0.34911907,0.08730189,0.98182553
FR,0.9858969,0.71822137,0.4769135
GB,0.8073671,0.5073175,0.040483132
GQ,0.88589317,0.9102725,0.27547088
GT,0.6687541,0.5856023,0.4386649
HN,1.0,0.72526896,0.12763971
MX,0.24692352,0.2133034,0.6318432
NI,0.60844207,0.96070254,0.38408354
PA,0.5762741,0.33859408,0.5104907
PE,0.50501,0.24252394,0.8181878
PR,0.6345638,0.6989709,0.16787559
PY,0.40107584,0.66340953,0.74060166
SV,0.89166135,0.45605364,0.6125601
US,0.15628122,0.24146317,0.38294873
UY,0.31359774,0.02265666,0.53249633
VE,0.0,0.13854635,0.6119442
