country,R,G,B
ALL,0.023322709,0.05757564,0.58902913
AR,0.14474033,0.25206998,0.48856384
BO,0.57420427,0.82631475,0.7655311
BR,0.5527855,1.0,0.46658784
CA,0.6024297,0.71657676,0.31065917
CL,0.14542498,0.23596744,0.08947298
CO,0.2890885,0.0,0.28642827
CR,0.47262356,0.48828784,0.0
CU,0.80393916,0.8717536,0.31421524
DO,0.32949358,0.58604616,0.97586703
EC,0.6407798,0.10625855,0.584404
ES,0.33062053,0.023699729,0.6507699
FR,0.69867265,0.57528275,0.58573234
GB,0.79487664,0.52321845,0.06948078
GQ,0.8991714,0.8387538,0.6847602
GT,0.36845225,0.7752538,0.107057154
HN,0.7705731,0.65108,1.0
MX,0.22230071,0.20103884,0.9478319
NI,0.96096087,0.50353074,0.7381859
PA,0.56907713,0.35940143,0.98091567
PE,0.44557768,0.33835745,0.497207
PR,1.0,0.6513851,0.318398
PY,0.2626772,0.63932,0.54517025
SV,0.83658594,0.35261917,0.40641147
US,0.005581335,0.4456916,0.26052222
UY,0.46403676,0.17306998,0.05554304
VE,0.0,0.3938599,0.70676094
