country,R,G,B
ALL,0.01550252,0.55032027,0.96884274
AR,0.29433623,0.1673797,0.98885655
BO,0.8264419,0.26561812,0.11333967
BR,0.5366519,1.0,0.37625968
CA,0.725511,0.4406332,0.34505352
CL,0.4475173,0.442983,1.0
CO,0.054555267,0.42599148,0.6716988
CR,0.76346135,0.33400193,0.774873
CU,0.48990515,0.4443855,0.0
DO,0.5005326,0.69462425,0.5770938
EC,0.050532397,0.48806676,0.32376117
ES,0.0,0.23855034,0.90097284
FR,0.8332185,0.8198259,0.50910944
GB,0.4264457,0.44777116,0.30706605
GQ,1.0,0.5600653,0.39081284
GT,0.71871966,0.08303109,0.5224367
HN,0.3977461,0.7706751,0.18816501
MX,0.2798357,0.6596018,0.90009785
NI,0.7934038,0.56993246,0.07083218
PA,0.7065974,0.72440064,0.8409803
PE,0.16693778,0.8201292,0.5613383
PR,0.85998666,0.8428318,0.18676172
PY,0.38651916,0.08325061,0.3046967
SV,0.5662596,0.8612315,0.010745475
US,0.34854326,0.0,0.7308516
UY,0.3500906,0.36417785,0.6664977
VE,0.08723094,0.09636869,0.57500464
