country,R,G,B
AR,0.05,0.4020197,0.082585014
BO,0.89600325,0.9176723,0.47869575
BR,0.821331,0.05,0.4394188
CA,0.8051884,0.28721452,0.61175233
CL,0.95,0.4589405,0.49501377
CO,0.3544098,0.78591853,0.95
CR,0.17299446,0.4937876,0.09362684
CU,0.95,0.7824607,0.84045035
DO,0.7831668,0.95,0.9494873
EC,0.69477195,0.9464555,0.42397842
ES,0.6727345,0.25337988,0.08495866
FR,0.86347836,0.18870778,0.16971987
GB,0.61819786,0.09818443,0.49012396
GQ,0.55003667,0.91090894,0.95
GT,0.329479,0.8521219,0.31132862
HN,0.31126285,0.5962554,0.61926335
MX,0.21092953,0.30008605,0.61116093
NI,0.05,0.43090934,0.53421915
PA,0.6029127,0.6506144,0.21818689
PE,0.6196669,0.4975212,0.79866695
PR,0.07728903,0.6658463,0.46784553
PY,0.3538656,0.55305827,0.05
SV,0.8736649,0.63641614,0.22699572
US,0.39243627,0.17938738,0.10004927
UY,0.10358825,0.21709448,0.19572514
VE,0.7453651,0.7120072,0.95
