country,R,G,B
ALL,0.10730278,0.4349182,0.6509429
AR,0.43660876,0.0,0.19012915
BO,0.9375551,0.74512273,0.63121563
BR,0.4970448,0.48053393,0.3311147
CA,0.7682769,0.5925679,0.9725822
CL,0.28965843,0.19520272,0.41453806
CO,0.28745854,0.61038333,0.024897268
CR,0.40168548,0.49333364,1.0
CU,0.60535717,0.7790571,0.8290241
DO,0.3816934,0.7263352,0.53185076
EC,0.8766388,0.53657144,0.12614663
ES,0.0,0.21922515,0.40479374
FR,1.0,0.26514354,0.5007951
GB,0.5166232,0.41310528,0.6647014
GQ,0.8802339,0.34622905,0.830929
GT,0.29984188,0.26806253,0.0
HN,0.8101612,0.49520043,0.5155911
MX,0.1009474,0.478812,0.26247185
NI,0.74373525,0.8031741,0.3271139
PA,0.29843956,0.16507824,0.81357163
PE,0.61560327,0.07040725,0.7242033
PR,0.63810724,1.0,0.60827386
PY,0.68720454,0.13498363,0.34852666
SV,0.18861559,0.763872,0.8141559
US,0.61652565,0.39501172,0.0067923497
UY,0.45385092,0.86921453,0.19793443
VE,0.091743276,0.80232126,0.3912502
