country,R,G,B
ALL,0.5057801,0.8330167,1.0
AR,0.026788233,0.32782063,0.5763116
BO,0.31037772,0.609354,0.4121644
BR,0.1552089,0.62640613,0.37217462
CA,0.25778377,0.6370266,0.37199435
CL,0.67417365,0.39099732,0.9095826
CO,0.6187674,0.3692331,0.87952626
CR,0.23792051,0.8165632,0.5487586
CU,0.55339503,0.021324286,0.72065
DO,0.5841944,0.7157347,0.48374304
EC,0.68041414,0.60809934,0.4878633
ES,0.6773246,1.0,0.0
FR,0.27300468,0.36115277,0.0601095
GB,0.30718237,0.8988885,0.5951253
GQ,0.56683743,0.0,0.7511617
GT,0.25394592,0.7816029,0.5109151
HN,0.25904372,0.6757791,0.43629655
MX,0.6695223,0.7166181,0.21211316
NI,0.2579393,0.6998628,0.5404771
PA,0.6287536,0.6698655,0.4680213
PE,0.5161647,0.70924735,0.3419765
PR,0.0,0.51724327,0.525554
PY,0.65190524,0.6426427,0.512589
SV,0.2356958,0.7135076,0.49003732
US,0.6234316,0.42113426,0.85163736
UY,1.0,0.29517347,0.7266885
VE,0.57668936,0.38851386,0.8378825
