country,R,G,B
ALL,0.0,0.83046925,0.10583574
AR,0.106907666,0.81271166,0.023095898
BO,0.94691706,0.0,0.76856136
BR,0.7156099,0.3779782,0.97784513
CA,0.9152018,0.12888056,0.5157329
CL,0.22081584,0.6375318,0.08441539
CO,0.24227741,0.85982937,0.0
CR,0.5238491,0.28743955,0.86627424
CU,0.9757297,0.1505608,0.64281744
DO,0.43756577,0.3083442,0.7509524
EC,0.36912194,0.5741971,0.5803034
ES,0.08354646,0.9119532,0.04425981
FR,0.83814394,0.21080387,1.0
GB,0.6651829,0.089796856,0.9224945
GQ,1.0,0.3165642,0.83876973
GT,0.57256114,0.2613562,0.61313957
HN,0.8525096,0.37930563,0.7214712
MX,0.1710504,1.0,0.12357183
NI,0.8158937,0.04720947,0.5738674
PA,0.38672698,0.23404853,0.43199745
PE,0.22971359,0.46215135,0.4072838
PR,0.8946156,0.12982771,0.78754765
PY,0.36129007,0.23886053,0.79763025
SV,0.6761271,0.1001048,0.60952896
US,0.20193268,0.72434217,0.26515096
UY,0.33346766,0.82756925,0.32009456
VE,0.31302688,0.90465724,0.2467571
