country,R,G,B
ALL,0.0,0.8321632,0.47094357
AR,0.062654935,0.6068751,0.5552939
BO,0.92115575,0.3108281,0.14899923
BR,0.7459086,0.49068084,0.8126735
CA,0.9289576,0.014444339,0.9062821
CL,0.17040017,0.6517721,0.23258127
CO,0.1845112,0.6523056,0.82381123
CR,0.6065774,0.3945644,0.48348647
CU,0.9967768,0.16677837,0.49499404
DO,0.6086256,0.7754665,0.26149604
EC,0.39357886,1.0,0.41080263
ES,0.041007627,0.99152356,0.81782633
FR,0.85956055,0.34079167,0.7677348
GB,0.7811938,0.24209313,0.32477605
GQ,1.0,0.44271094,0.58593166
GT,0.7055533,0.47336727,0.0
HN,0.8807811,0.0,0.4213382
MX,0.05396342,0.70575124,0.9533029
NI,0.8390933,0.6369346,0.40683818
PA,0.4854787,0.7006286,0.09289096
PE,0.3207059,0.6647568,0.4385271
PR,0.9659594,0.38174054,1.0
PY,0.501522,0.72869474,0.61416006
SV,0.77052104,0.028998507,0.76929563
US,0.17828093,0.9914984,0.7159397
UY,0.26691598,0.9508492,0.24746162
VE,0.1082731,0.98555994,0.3430461
