country,R,G,B
ALL,0.8981666,0.9828218,0.64856076
AR,0.65415084,1.0,0.8927379
BO,0.41652563,0.18256922,0.23123722
BR,0.2897187,0.32519412,0.05445412
CA,0.2652689,0.14711884,0.0
CL,0.75107425,0.8515478,0.8607884
CO,1.0,0.85496384,0.7935607
CR,0.4852259,0.4565081,0.25017366
CU,0.059069768,0.059873607,0.37099236
DO,0.6259358,0.5279669,0.62247026
EC,0.6739822,0.63615215,1.0
ES,0.70652,0.968634,0.6067448
FR,0.22948593,0.16067104,0.3726581
GB,0.26755714,0.0,0.1918005
GT,0.32734898,0.40064505,0.48288226
HN,0.08880837,0.27680475,0.1550422
MX,0.8616381,0.9669352,0.981424
NI,0.0,0.2591336,0.41580346
PA,0.42794657,0.53759086,0.8142275
PE,0.78096133,0.75542414,0.46975443
PR,0.032323007,0.10990513,0.10016516
PY,0.43523422,0.6270372,0.51988846
SV,0.28204423,0.23669921,0.60485333
US,0.53493744,0.84092456,0.54132324
UY,0.5039277,0.77317894,0.8524446
VE,0.8494949,0.70642096,0.7910991
