country,R,G,B
ALL,0.66496575,0.89518154,0.11859291
AR,0.744523,0.7294691,0.10626584
BO,0.05653666,0.44025525,0.7855698
BR,0.06409447,0.42992866,1.0
CA,0.15660141,0.45453942,0.8937566
CL,0.8823129,0.6312613,0.12239225
CO,0.93826985,0.8214002,0.04534459
CR,0.6824299,0.040576022,0.39381173
CU,0.14927725,0.6215677,0.8121167
DO,0.7939792,0.16541678,0.42542624
EC,0.8924302,0.30541793,0.28988758
ES,0.73895997,1.0,0.15001449
FR,0.0,0.45282438,0.9046401
GB,0.050684277,0.564349,0.9848179
GT,0.55843484,0.043568086,0.50363094
HN,0.15502022,0.19404888,0.7363681
MX,0.7700222,0.9287074,0.030915357
NI,0.2697427,0.11186089,0.5941299
PA,0.8099227,0.07459691,0.34004632
PE,0.9430547,0.21489653,0.17178194
PR,0.1589909,0.55564976,0.7567401
PY,0.84961176,0.20883828,0.12278848
SV,0.32941434,0.0,0.61987454
US,0.93486124,0.57285357,0.0
UY,0.90306747,0.36131725,0.06427617
VE,1.0,0.6781609,0.1548455
