country,R,G,B
ALL,0.22770761,0.2703943,0.47103077
AR,0.5063706,0.001561905,0.3571262
BO,0.5786493,0.66890717,0.7288486
BR,0.6210765,0.36820078,0.5482062
CA,0.66611516,1.0,0.5086895
CL,0.006367274,0.47098836,0.2660173
CO,0.2126479,0.13527699,0.13534132
CR,0.38646117,0.0,0.747156
CU,1.0,0.53994846,0.6922207
DO,0.6354892,0.20856476,0.88770807
EC,0.2502359,0.7110849,0.08802925
ES,0.0,0.06625468,0.513
FR,0.36712712,0.8847395,0.44872323
GB,0.93646413,0.8152478,0.50609416
GT,0.24205047,0.33392534,0.8953299
HN,0.7160024,0.89888513,0.8975446
MX,0.45117328,0.33799767,0.0
NI,0.7863729,0.22741649,0.17790776
PA,0.9354755,0.5253372,0.2824975
PE,0.2987333,0.6439097,1.0
PR,0.7634905,0.5157591,0.9843438
PY,0.6820873,0.7332328,0.11481475
SV,0.003708923,0.53914213,0.66209
US,0.44208422,0.5396635,0.35546407
UY,0.89129514,0.13735367,0.57782435
VE,0.13489649,0.8652471,0.6799251
