country,R,G,B
ALL,0.827292,0.6077015,0.0
AR,0.90231633,0.82616246,0.18692186
BO,0.21272548,0.40026957,0.74908036
BR,0.18730178,0.8092314,0.6520885
CA,0.1067327,0.5153702,1.0
CL,0.948021,0.7341982,0.41386113
CO,0.7860962,0.3968014,0.16142312
CR,0.49279562,0.7517578,0.8215856
CU,0.0,0.617994,0.7958255
DO,0.4907262,0.15530202,0.63950646
EC,0.7671975,1.0,0.43127748
ES,1.0,0.4708931,0.21138164
FR,0.039645128,0.084451266,0.92479676
GB,0.17818908,0.0,0.6814435
GT,0.2828468,0.40295523,0.5027914
HN,0.23034671,0.09759965,0.9663357
MX,0.91078633,0.15873758,0.10868175
NI,0.23443638,0.8054533,0.90179265
PA,0.6762571,0.6249126,0.6447829
PE,0.58433944,0.41152033,0.23937485
PR,0.009118589,0.2623878,0.71018136
PY,0.5157539,0.7996489,0.4545511
SV,0.37676698,0.373137,0.8742211
US,0.8532555,0.15064466,0.4578884
UY,0.6722923,0.9036249,0.18368594
VE,0.7474691,0.45933375,0.388614
