country,R,G,B
ALL,0.89484423,0.39304042,0.1
AR,0.9,0.62327665,0.39892343
BO,0.1,0.5901863,0.7500035
BR,0.20730603,0.42564568,0.71858513
CA,0.1,0.28917125,0.55728275
CL,0.7875208,0.33101904,0.27095115
CO,0.9,0.24742639,0.17322227
CR,0.32158148,0.383771,0.48059258
CU,0.1,0.1,0.76799726
DO,0.3929847,0.9,0.6351485
EC,0.527101,0.4916298,0.2651279
ES,0.9,0.1397424,0.38816637
FR,0.20677224,0.4899157,0.9
GB,0.2207185,0.1,0.9
GT,0.19561827,0.8442251,0.552333
HN,0.14075002,0.89408803,0.84472233
MX,0.9,0.77250993,0.17319676
NI,0.35479724,0.681797,0.8617482
PA,0.52841973,0.5362184,0.64719284
PE,0.68505085,0.32315487,0.46870983
PR,0.1,0.30282885,0.9
PY,0.46541333,0.8198011,0.45148724
SV,0.3356537,0.1,0.6973641
US,0.742446,0.6286526,0.1
UY,0.73799926,0.86794764,0.3425129
VE,0.77576125,0.1,0.12725563
