country,R,G,B
ALL,0.7466371,0.9872499,0.032455526
AR,0.70529073,0.9888196,0.0
BO,0.006180436,0.89536995,0.5923297
BR,0.088615425,1.0,0.5714336
CA,0.017210605,0.8993442,0.6271348
CL,1.0,0.52692956,1.0
CO,0.83571523,0.759642,0.83454156
CR,0.40608987,0.20977986,0.1879719
CU,0.011274319,0.808553,0.4126555
DO,0.70465773,0.01090059,0.5207423
EC,0.64034337,0.50638074,0.63100475
ES,0.7817309,0.96764284,0.044163395
FR,0.04999926,0.93383664,0.6362878
GB,0.07337266,0.97015846,0.60899496
GT,0.38210347,0.21405809,0.1649051
HN,0.14033224,0.4168159,0.28426775
MX,0.7792662,0.9933454,0.073722616
NI,0.1283049,0.4314334,0.29735526
PA,0.6903348,0.0,0.5051942
PE,0.6580248,0.54925776,0.6705759
PR,0.0,0.82237595,0.40077466
PY,0.69699407,0.56295717,0.68277305
SV,0.35879877,0.2204072,0.1411769
US,0.87014383,0.7026846,0.8796972
UY,0.68296146,0.5302588,0.6553301
VE,0.8484749,0.73554456,0.8548539
