country,R,G,B
ALL,0.7080159,0.9123043,0.10327514
AR,0.9833744,0.95365536,0.4400715
BO,0.29409832,0.12190395,0.75059927
BR,0.0,0.21474645,0.34124467
CA,0.11517916,0.118834145,0.9605859
CL,0.76053864,0.90442413,0.46173108
CO,1.0,0.7846228,0.36287126
CR,0.40470794,0.49161297,0.3934285
CU,0.015657794,0.08340888,0.59144497
DO,0.47976175,0.6368694,0.7829128
EC,0.7298094,0.6530269,0.65216833
ES,0.9111597,0.8364987,0.0
FR,0.08829669,0.25968865,0.7464812
GB,0.19914934,0.28853586,0.3570527
GT,0.27864173,0.4224037,0.7850741
HN,0.23709118,0.1125315,0.27134407
MX,0.86783385,1.0,0.1603578
NI,0.40866542,0.18952428,0.4386632
PA,0.6339855,0.47170395,0.6174421
PE,0.52135557,0.78894025,0.4161253
PR,0.19400826,0.0,0.5430152
PY,0.66291094,0.53876144,1.0
SV,0.46521506,0.28718665,0.8621982
US,0.73177105,0.8627055,0.8205584
UY,0.9337036,0.7518278,0.778687
VE,0.7766587,0.71095026,0.22225432
