country,R,G,B
ALL,0.9,0.8567241,0.9
AR,0.9,0.72424906,0.74400604
BO,0.1,0.9,0.1
BR,0.1,0.8957773,0.45722562
CA,0.1,0.8459619,0.19150577
CL,0.9,0.63104683,0.42826772
CO,0.9,0.747896,0.4559855
CR,0.36502948,0.1,0.6882892
CU,0.1,0.9,0.1
DO,0.37671003,0.1,0.615791
EC,0.5015131,0.1,0.24532215
ES,0.9,0.8189492,0.84162086
FR,0.11427426,0.8956921,0.3222548
GB,0.1,0.7955689,0.45973653
GT,0.33067742,0.111344114,0.44710806
HN,0.1,0.51166296,0.8207309
MX,0.9,0.8293757,0.57958806
NI,0.14442447,0.35172746,0.8813985
PA,0.4473053,0.1,0.49402663
PE,0.9,0.5892122,0.10128193
PR,0.1,0.9,0.15630308
PY,0.40878072,0.1,0.26889208
SV,0.1,0.39108223,0.9
US,0.9,0.7643193,0.27633005
UY,0.9,0.6254157,0.20277718
VE,0.9,0.7149923,0.18065207
