country,R,G,B
ALL,1.0,0.9556643,0.021559693
AR,0.7811037,0.8625552,0.0
BO,0.017741041,0.4813338,0.86140674
BR,0.4029679,0.35948482,0.88518935
CA,0.06177794,0.3996413,1.0
CL,0.7808501,1.0,0.14619271
CO,0.73105276,0.51931363,0.10337314
CR,0.35443237,0.43453503,0.46020964
CU,0.0,0.06566786,0.90999866
DO,0.5555198,0.50741017,0.5055527
EC,0.7874815,0.60581803,0.41887754
ES,0.9550158,0.7810097,0.08851996
FR,0.256296,0.29200336,0.975657
GB,0.23906991,0.6076565,0.86300015
GT,0.45135254,0.49455965,0.6643535
HN,0.25808126,0.040064298,0.8208461
MX,0.94754755,0.49187317,0.04047827
NI,0.09663478,0.25321573,0.7557435
PA,0.42418998,0.8060576,0.47035182
PE,0.59654313,0.5933823,0.28729093
PR,0.15222439,0.0,0.9701589
PY,0.63224393,0.91206235,0.44951445
SV,0.21497785,0.42881298,0.619123
US,0.9761773,0.90825945,0.27105057
UY,0.764446,0.97588795,0.30566967
VE,0.85449094,0.5342693,0.24151428
