country,R,G,B
ALL,0.84755045,0.9747879,0.2263152
AR,0.8970276,0.46857762,0.0
BO,0.1527128,0.56864744,0.92014354
BR,0.0,0.3247192,0.73591375
CA,0.45432255,0.7098371,0.816688
CL,0.9907484,0.5712389,0.25489157
CO,0.65671486,0.65964913,0.04636735
CR,0.6956783,0.13613354,0.53224814
CU,0.25311506,0.17184134,0.90267825
DO,0.36187825,0.8763,0.4988272
EC,0.47242856,0.40228406,0.3562712
ES,0.47767323,0.40005872,0.036323775
FR,0.5990109,0.43600446,0.7858987
GB,0.27621973,0.0,0.6732718
GT,0.8626634,0.633333,0.7326165
HN,0.64356613,0.10558714,0.81613773
MX,0.32340193,0.71008474,0.11126697
NI,0.36403683,0.32628262,0.65092665
PA,0.10907635,0.379649,0.35976887
PE,0.6144027,0.78908396,0.29418468
PR,0.46728253,0.39528316,1.0
PY,0.8465056,0.5822787,0.47622082
SV,0.17736664,0.6272613,0.65515983
US,0.7683918,0.28634003,0.19993146
UY,1.0,0.81787664,0.047498964
VE,0.5781194,1.0,0.07666484
