country,R,G,B
ALL,0.5670253,1.0,0.12180296
AR,0.21493648,0.8344475,0.18156195
BO,0.030758597,0.5907588,0.8630219
BR,0.5740495,0.3157337,0.7755643
CA,0.6092587,0.6525465,0.88999146
CL,0.35335627,0.5465505,0.28710216
CO,1.0,0.77461004,0.18232903
CR,0.80622494,0.6201495,0.63818884
CU,0.68330973,0.2310283,0.95238906
DO,0.8457457,0.2026037,0.57188547
EC,0.9846478,0.4078489,0.17168355
ES,0.6192036,0.690428,0.14803113
FR,0.006135469,0.1883077,0.7117701
GB,0.4528842,0.0,0.72641736
GT,0.3580448,0.8642245,0.74375725
HN,0.33108795,0.046497058,0.9216609
MX,0.54326487,0.56790555,0.0
NI,0.0,0.23813045,0.9380383
PA,0.2583979,0.2031455,0.4340261
PE,0.73048127,0.966658,0.37376586
PR,0.35004348,0.46372095,1.0
PY,0.14490804,0.7266011,0.48762304
SV,0.24360071,0.45889714,0.71024334
US,0.6858319,0.2517846,0.27591172
UY,0.33720756,0.33131754,0.10907558
VE,0.77183396,0.60406494,0.354115
