country,R,G,B
ALL,0.6927648,1.0,0.19615021
AR,0.6869756,0.86203206,0.0
BO,0.06876483,0.7752939,0.5802804
BR,0.15190025,0.63021046,1.0
CA,0.121065125,0.75711244,0.77876824
CL,0.76122516,0.7964108,0.18963617
CO,0.7838405,0.7283329,0.61732304
CR,0.7247009,0.21368434,0.078375034
CU,0.040336438,0.83155423,0.41860056
DO,0.9021193,0.32189777,0.13271342
EC,0.93986803,0.4418555,0.2380708
ES,0.75499076,0.9416751,0.15086538
FR,0.19032863,0.7150648,0.7883816
GB,0.105822556,0.67167586,0.87181735
GT,0.6375637,0.14766853,0.12510963
HN,0.53505003,0.0,0.3578602
MX,0.7634603,0.8726794,0.5383743
NI,0.6041934,0.04804115,0.2756068
PA,0.82245463,0.2582425,0.09119414
PE,0.92133933,0.5632164,0.32554486
PR,0.0,0.7480079,0.39724386
PY,1.0,0.54879355,0.2193838
SV,0.5133637,0.06671652,0.24696991
US,0.84474504,0.5733635,0.55534583
UY,0.8132962,0.56200004,0.36731124
VE,0.7759125,0.6032038,0.7462814
