country,R,G,B
ALL,0.83286685,0.7974745,0.47726896
AR,0.8136388,0.39130822,0.5288484
BO,0.20432852,0.5891995,0.56778336
BR,0.18666577,0.95,0.67423326
CA,0.0,0.7731581,0.7448121
CL,0.7986071,0.19744313,0.9155972
CO,0.84433514,0.044256087,0.3372073
CR,0.43121967,0.5582945,0.015421311
CU,0.060862705,0.31245238,0.48072064
DO,0.35074693,0.12381547,0.6418792
EC,0.6686698,0.72424316,0.934492
ES,0.92520195,0.586645,0.8912412
FR,0.010275946,0.7166798,0.27325723
GB,0.08323807,0.40593696,0.00227947
GT,0.39801311,0.71482134,0.6855054
HN,0.19709918,0.92970705,0.19317392
MX,0.95,0.57345706,0.3784238
NI,0.26961342,0.33258405,0.143083
PA,0.5357552,0.95,0.3385537
PE,0.95,0.1577469,0.6300638
PR,0.028025832,0.33730036,0.88228136
PY,0.57836735,0.0,0.33092993
SV,0.24523453,0.47416344,0.95
US,0.6209496,0.27680406,0.75695753
UY,0.6640452,0.4858666,0.19867028
VE,0.81934005,0.47834674,0.0
