country,R,G,B
ALL,0.87374884,0.19795044,0.36037412
AR,0.55736655,0.0,0.56274337
BO,0.32761014,0.96575665,0.7993095
BR,0.43376523,0.31549728,0.8078166
CA,0.21654287,0.65054107,0.6036574
CL,0.49825984,0.5919797,0.0
CO,0.2568733,0.3853523,0.12192939
CR,0.46407202,0.30680063,0.46985325
CU,0.6050806,0.73987466,0.99097985
DO,0.5265496,1.0,0.49898255
EC,0.4769892,0.6300097,0.36299694
ES,0.80301404,0.44061646,0.11160774
FR,0.13123256,0.9186832,0.433864
GB,0.4102495,0.9058854,0.14864805
GT,0.8323059,0.866439,0.28323358
HN,0.75342065,0.9378174,0.73612773
MX,0.53572255,0.12507758,0.16455287
NI,0.07060118,0.36950964,0.79151255
PA,0.6464456,0.565298,0.6106213
PE,0.8835199,0.2624939,0.7058092
PR,0.25389296,0.6812056,0.9423303
PY,0.97152597,0.6577386,0.7542109
SV,0.12619905,0.17973936,0.47536147
US,0.0,0.5484673,0.32873362
UY,0.7220432,0.38526356,1.0
VE,1.0,0.5700258,0.41771716
