country,R,G,B
ALL,0.5723706,0.8805054,0.1596109
AR,0.3530955,0.6396238,0.0
BO,0.7675641,0.65014714,0.70379746
BR,0.38849676,0.034530118,0.8747701
CA,0.52207106,0.28602478,0.70903724
CL,0.3463503,0.35189927,0.22673433
CO,0.6415314,0.47110564,0.1398844
CR,0.44447806,0.5166483,0.48377693
CU,0.49350107,0.47020385,1.0
DO,0.048436504,0.310407,0.5482638
EC,0.70518273,0.10017756,0.38523906
ES,0.10819291,0.85585237,0.15607563
FR,0.7477986,0.006915287,0.7285646
GB,0.20231643,0.42448044,0.8214667
GT,0.2632001,1.0,0.6068152
HN,0.7940185,0.26823053,0.93825513
MX,0.026147224,0.45716935,0.21780682
NI,0.38371015,0.75709665,0.8221619
PA,0.6801762,0.99986184,0.51620746
PE,0.30687743,0.0,0.43466252
PR,0.74739707,0.7395875,0.9218741
PY,0.87329966,0.5766678,0.40611142
SV,1.0,0.3250477,0.69452626
US,0.26053306,0.20361295,0.014256194
UY,0.0,0.7275938,0.5000383
VE,0.3151343,0.82400393,0.31536314
