country,R,G,B
ALL,0.9,0.48427168,0.15890451
AR,0.9,0.13506801,0.24849199
BO,0.1,0.9,0.6953702
BR,0.17733438,0.3614486,0.8927497
CA,0.1,0.542424,0.6831135
CL,0.9,0.28807834,0.1
CO,0.87703574,0.7011343,0.1
CR,0.35677424,0.1,0.6075908
CU,0.1,0.61641556,0.9
DO,0.44011632,0.35637856,0.66273606
EC,0.6054978,0.27278128,0.36818197
ES,0.9,0.787433,0.23880774
FR,0.11948318,0.7297492,0.9
GB,0.1,0.2622674,0.88439786
GT,0.29736617,0.43509874,0.73334527
HN,0.17875984,0.7637868,0.75357544
MX,0.9,0.44296753,0.3830002
NI,0.13293354,0.41941303,0.5674184
PA,0.3579556,0.37634873,0.4412704
PE,0.6884852,0.5115605,0.27394286
PR,0.1,0.9,0.89904815
PY,0.4954956,0.2912247,0.43445978
SV,0.206543,0.1,0.67036265
US,0.8221463,0.53203094,0.3268003
UY,0.75623745,0.5585603,0.1
VE,0.8093494,0.17177634,0.12940241
