country,R,G,B
ALL,0.17573355,0.6585752,0.098495066
AR,0.6336395,0.81374824,0.015206289
BO,0.3150679,0.17010133,0.8713927
BR,0.34493166,0.2949868,0.57314503
CA,0.54526204,0.38857898,1.0
CL,0.10620811,0.8383152,0.47014043
CO,0.53126734,1.0,0.5224334
CR,0.79586434,0.26682645,0.13329484
CU,0.36927024,0.0,0.5476519
DO,0.60879415,0.44738168,0.43189332
EC,0.87420684,0.5592041,0.08588738
ES,0.55405533,0.7361088,0.33067012
FR,0.6787076,0.085321106,0.38975242
GB,0.8249038,0.39196244,0.8379821
GT,0.0,0.46486917,0.67669606
HN,0.9983332,0.22352523,0.5817965
MX,0.2874262,0.8994222,0.17308928
NI,0.01800743,0.42625216,0.30554497
PA,0.22093762,0.6225594,0.9623001
PE,1.0,0.52414626,0.46334177
PR,0.67925274,0.10000738,0.7877519
PY,0.27630815,0.23304288,0.15644482
SV,0.907072,0.79375255,0.56447864
US,0.46261305,0.45546925,0.0
UY,0.6569329,0.7517518,0.867263
VE,0.37662423,0.6529431,0.6150387
