country,R,G,B
ALL,0.61044306,0.6327763,0.24204665
AR,0.7329749,0.36193174,0.16501944
BO,0.26036805,0.5154117,0.67851174
BR,0.24283236,0.48116204,1.0
CA,0.35713378,0.10008758,0.73472834
CL,0.8920013,0.4047249,0.45634893
CO,0.7611837,1.0,0.27014783
CR,0.5855673,0.13806716,0.46545726
CU,0.0,0.16722146,0.66133714
DO,0.3012535,0.68927073,0.20373125
EC,0.45712584,0.9343596,0.43254748
ES,0.89496046,0.5888312,0.070756406
FR,0.18916503,0.12016259,0.9128866
GB,0.03918136,0.39364722,0.34266323
GT,0.5549122,0.38137695,0.92761415
HN,0.23571914,0.29269406,0.501549
MX,0.6526553,0.8171411,0.0
NI,0.01638326,0.5046161,0.7678711
PA,0.43254152,0.88126224,0.7781892
PE,0.5403538,0.5587264,0.60254973
PR,0.17638722,0.0,0.46788192
PY,0.40279493,0.30338755,0.13177826
SV,0.10379995,0.7254768,0.5349386
US,0.8384414,0.69033015,0.6900368
UY,1.0,0.78811896,0.37701792
VE,0.7738111,0.72118556,0.41693792
